start	end	text
1.254	5.256	我們再次鼓掌鼓勵我們徐弟兄,好嗎?
5.256	9.058	非常好的見證。
9.058	23.197	能夠來在這樣子一個地方,得救的地方,來見證主怎麼拯救我們,這真的是一個非常非常非常非常 有福氣的一件事情。
23.197	33.561	我巴不得我們在這邊所有的弟兄姊妹,你以前已經信主,還沒有機會做見證的,現在教會有很多機會讓你練習。
33.561	45.867	然後我們在這,如果還有還沒有信主的朋友們,巴不得你能夠哪一天你就很快地接受主,然後你就可以到這裡來。
45.867	48.048	我把講臺就讓給你們,好不好。
48.575	49.798	感謝主。
49.798	96.446	今天我要跟弟兄姊妹分享, 因為今天的信息跟我年初的信息有一點相關所以我必須花一點點時間來做一點類似複習的工作如果大家記得的話在今年一月初的時候我在那邊跟大家分享的是講到我當時準備那篇信息其實有一些掙扎的因為我過去幾十年的時間特別是後來有機會在教會的服侍 職場裡頭服侍、帶領團隊的話,每一年年初我都希望能夠從神那邊有一些很清楚的方向性,能夠跟我公司的人、跟我教會的人分享。
96.446	106.211	這樣子一個習慣下來以後,當我去年11月的時候,知道1月初我要分享的時候,我就很認真地禱告。
106.211	144.678	我回到前年的話, 前年底的時候,直到去年初,1月5號要分享的時候,2020年新年,那個時候我就很明確地知道,神要我分享的是,把那麼愛我們的天父,我們的主耶穌基督聖靈,祂三一真神怎麼樣來愛我們,能夠做一個很簡單的一個詮釋,然後勉勵大家, 當時的感動就是在2022年的時候,神要我們的就是我們全人,我們緊緊地來跟隨祂,我們全人的一個奉獻,全人的獻上。
144.678	153.462	我在這樣一個基礎上來講那篇信息的時候,很奇妙地帶了兩個小點。
153.462	156.363	那個時候神要我提到這兩點,因為是給我的。
157.910	165.561	你今年一年,講到2020年一整年,你可以繼續不斷地向我求平靜安穩的心。
165.561	169.006	你也要學習轉變成小孩子的樣式。
170.265	173.046	耶穌不講要轉變成小孩才能夠進天國嗎?
173.046	173.926	對不對?
173.926	178.707	我很認真地把那兩點,我也在這邊點了,跟弟兄姊妹分享。
178.707	182.928	其實當時完全不知道新冠肺炎會變成怎麼樣的情形。
182.928	193.711	但是當我們一年以後回頭看的話,我們發現2020年我們感謝神,神真的保守我們,我們所有的家人,我相信我們身心靈的衝擊都是很大的。
193.951	225.161	我蠻盼望你們有機會去反思一下去年一年在這樣的一個疫情過程當中雖然是很辛苦的但是我們學習到什麼我是蠻希望大家自己能夠有一些探討或者在小組裡頭或許是一個很好題目來思考的去年底直到今年初要分享的時候我當然繼續來向神求因為每一次 這個不曉得大家知不知道,我可能講過很多次。
225.161	231.264	就是對於我來講,傳揚信息最難的一件事情是到底講什麼。
231.264	234.426	我知道講什麼的時候就認真去準備嘛。
234.426	237.388	那從小念書也還念得還不錯,對不對?
237.388	242.832	所以知道要講什麼題目的時候,然後去準備,相對比較不是難的,可是不知道講什麼。
242.832	249.476	那我們很希望,我相信我這樣講應該可以代表蠻多的站講臺的弟兄姊妹的。
249.974	253.937	當我們知道神要我們講什麼的時候,我們全力以赴。
253.937	271.440	所以前年底,我剛剛講到了,我做了這樣子一個理解以後,然後去年初就跟弟兄姊妹來分享,然後我們全人獻上,同時向神求一個平靜安穩的心, 回轉向小孩子的樣式。
271.440	297.996	一年整年的話,我有做筆記的習慣,每一年,每一天事實上,很簡單的,不能算日記,但是就是點的記的話,其實我知道這兩點,我過去一年可能勉勵過少說點,十幾二十位、三十位弟兄姊妹,因為碰到不同情形的時候, 我會想到甚至他們中會有一些說,牧師你說要平靜安穩的心,能替我禱告嗎?
297.996	299.396	等等這樣子。
299.396	323.020	好,那回到去年底的時候,今年要講話的時候,今年初要分享的時候,我發現我碰到一個難題,因為神很清楚地跟我講說是,去年我保守大家,然後成全了一年以後,今年我要你們勇敢地, 站起來,走出去。
323.020	332.767	所以從去年底,事實上,我有參加一些聚會的時候,私下我就開始把我感動到的這樣子一個想法,跟弟兄姊妹開始來分享。
332.767	336.229	然後,今年初的時候,我的難題是什麼?
336.229	345.415	我的難題是,神要我講,就是說,繼續地要我們全人獻上,然後要我們齊心,齊而行,然後勇敢走出去。
345.415	346.416	可是我不知道講什麼。
346.920	382.164	通常神給我題目以後我就會找到東西來講可是我花了兩三個禮拜怎麼思想怎麼禱告拼來拼去你知道神要我講什麼神要我講職場服事的信息下一頁的話你會看到的就是下一頁從2013年初8年前神感動我來講職場服事信息以後差不多兩年的時間一共講了18篇的信息 我每一篇信息事先都不知道的,我不是事先規劃好的。
382.164	395.152	結果在十八講講完以後,我準備再講後面六講,因為那個時候在我們當中有一位羅伊賓牧師我很敬重的。
395.152	404.778	羅牧師是當年在美國的Prinston大學神學院專門研究基督教倫理學的。
404.778	412.666	所以我就跟他講,我說羅牧師, 我覺得我還有六講要講,你跟我一起,我們來講那六講好不好?
412.666	433.030	他就看到我,他說羅莫斯,我叫他羅莫斯,他也叫我羅莫斯,他說羅莫斯,你的前面十八講,因為那時候他在我們這邊聚會,他說我都有在聽,你的每一講都在講基督教倫理學, 所以如果你後面再特別去講基督教倫理學的話,就多餘了,就話舌天足了。
433.030	434.791	我說好,那就關掉了。
434.791	439.236	所以我聽了十八講,然後把它整理以後,這是你們現在看到的。
439.236	451.387	前面六講把它整理出來的話,是勉勵弟兄姊妹對於我們 在職場上服侍,這一份工作,這一份服侍的話,到底代表的是什麼意義?
451.387	458.634	然後主耶穌基督跟我們講說,祂是差遣我們出去羊辱狼群,要打仗的。
458.634	465.180	所以第二個主題,第七講到第十二講的話,講的就是我們怎麼樣打好職場使者的仗。
466.305	498.864	第三個主題就是在這個位分上神給我們的恩昭那個位分上作為職場使者的話我們是一個主責的人所以我們應該要向神來求恩膏怎麼樣能夠在這份上我做一個負責的人要有一個領導的素質怎麼樣子能夠有一個領袖的特質能夠把神交給我們事情辦好就是這樣子一個情形 我去年底的一個感動是要起而行,要走出去。
498.864	501.725	所以我怎麼禱告的時候跑出來的話呢?
501.725	506.408	就是下一頁跑出來的第十講,第十一講,第十二講。
506.408	510.410	因為這三講的話,戰鬥性最強。
510.410	518.468	這戰鬥性的話呢,第十講是一個 新的一個概念,我發現這樣講的人不多。
518.468	524.770	大家記得在《以弗所書》第六章講到屬靈的軍裝。
524.770	533.634	但是教會常常去強調屬靈徵戰的時候,我們沒有教大家說你屬靈徵戰的同時,你肉體徵戰還在發生的。
534.326	536.027	所以是一個兩重的戰事。
536.027	539.049	但是這個題目的話,比較關鍵性強。
539.049	542.351	我等一下花個兩三分鐘來稍微提一下。
542.351	549.456	但是我當時就很清楚,就是去年底的時候,我知道我一月初要講的時候,我就是要講第十一講。
549.456	554.599	所以十一講跟大家分享的是職場之光。
554.599	558.461	我這樣子問一下,我不怕給自己找麻煩。
558.461	569.032	還記得我講過職場, 發光八要,有這樣一個講法的請舉手。
569.032	572.835	好,那我就不必問你記得八要還記得多少要了。
572.835	581.662	你看,所以我們站講臺的人我們要準備好,就是說弟兄姊妹的話,很認真坐在那邊的話呢,你講的東西他不一定記得的。
581.662	585.899	所以剛才牧師講的很多東西, 你們都忘掉了,沒有關係。
585.899	588.203	我等一下講的東西你們一定也忘掉了。
588.203	592.290	但是有一些是不能忘的,我等一下會提醒你們。
592.290	594.354	那麼今天的話呢,我要講十二講。
595.077	647.471	但是講十二講之前的話呢我要把十講十一講很快的一兩分鐘每一講把它帶過去看下一頁下一頁的話呢就第十講剛剛講到是兩個概念一個是屬靈的徵戰一個是血氣之戰我們肉體之爭那這兩個的話呢在我們生命當中你們仔細想想看你去找事情比方說你要去領一個訂單比方說其實我們 我們的做法應該都在中間這個在血氣之爭這個上頭我們要做的什麼我們要求的是在這個世界上的話我們要爭一席之地我們怎麼樣子能夠發揮我們的勢力我們的才能這樣對不對 我要特別強調,這個《血氣之爭》我寫出來這些軍裝要做準備的不是錯的。
647.471	653.313	再強調一下,我當然我要去考試,我就要考贏。
653.313	657.595	我要去被人家找職位,我當然就要贏。
657.595	661.677	所以我多年準備的聰明才智,我當然要發展出來。
661.937	663.779	繁體中文，臺灣國語。
663.779	664.680	繁體中文，臺灣國語。
673.439	675.820	我走路要有風啊,對不對?
675.820	682.564	穿著拍拍亮亮的皮鞋,然後我要去麵談的話,那這個一定要的嘛,對不對?
682.564	690.288	所以像這些,然後你在面談過程當中的時候,你把你的資源在對談過程當中,你可以得分的。
690.288	691.068	這個有沒有錯?
691.068	694.050	沒錯,再強調一下,再強調一下。
694.050	699.993	然後你這邊在講臺,在講臺的時候要不要穿得體面一點點?
