start	end	text
0.009	83.449	繁體中文，臺灣國語 繁體中文，臺灣國語 繁體中文，臺灣國語。
90.555	100.560	繁體中文，臺灣國語。
112.688	131.018	繁體中文，臺灣國語。
139.189	253.152	繁體中文，臺灣國語 繁體中文， 繁體中文， 繁體中文， 我們一起來思想。
253.152	266.157	繁體中文，臺灣國語。
273.490	336.173	繁體中文，臺灣國語 繁體中文， 繁體中文，臺灣國語。
338.234	488.540	繁體中文，臺灣國語 繁體中文，臺灣國語 繁體中文，臺灣國語 繁體中文，臺灣國語 繁體中文，臺灣國語 繁體中文，臺灣國語。
504.462	559.881	繁體中文， 繁體中文，臺灣國語 繁體中文，臺灣國語。
568.353	572.296	各位弟兄姊妹早安。
572.296	574.178	很開心。
574.178	579.883	外面的天氣又是這麼的晴朗。
579.883	582.745	我們來跟旁邊的人說。
582.745	585.267	在這樣的天氣裡面跟你一起敬拜神。
585.267	585.687	真好。
588.353	603.303	我們送走了2021年,接下來我們也要迎接我們的農曆年,是嗎?
609.667	614.371	農曆年就在月底。
614.371	617.013	真的是時間過得非常的快。
617.013	629.204	我相信大家才剛過完新曆年、跨年完,馬上緊接著又要預備我們過農曆年。
629.204	637.550	大家一定都很忙碌, 這時候我們是不是更需要神,來成為幫助我們的力量。
637.550	639.311	阿們嗎?
639.311	640.592	阿們。
640.592	646.597	那麼好不好,記得現在我們要敬拜之前,我們把手機先關靜音,好嗎?
646.597	648.178	來檢查一下自己的手機。
650.350	654.072	我們邀請我們弟兄姊妹們，我們從座位上站起來。
654.072	657.835	我們一起來預備我們的心，為自己的心先來禱告。
657.835	661.537	主啊,我們來到祢的面前，主,我們要支取祢的力量。
661.537	677.069	我們不管我們面對的環境是什麼，是一個詭譎多變的疫情，還是說我們真的是在忙碌當中，主,我們需要預備 在過年當中還是預備在迎接新的一年。
677.069	679.311	我們不管預備什麼事情。
679.311	685.198	祝我們最大的支取的力量的源頭就是祢。
685.198	688.682	祝願祢的同在今天來到我們當中。
