start	end	text
0.009	87.349	繁體中文，臺灣國語 繁體中文， 繁體中文，臺灣國語。
125.077	187.031	繁體中文，臺灣國語 我們一起來思想。
187.031	196.340	繁體中文，臺灣國語。
210.742	216.940	繁體中文，臺灣國語。
240.077	251.923	我們一起來思想。
251.923	262.548	繁體中文，臺灣國語。
273.319	281.424	繁體中文，臺灣國語。
303.387	374.602	繁體中文，臺灣國語 繁體中文，臺灣國語。
387.671	432.916	繁體中文，臺灣國語 繁體中文，臺灣國語。
442.551	467.019	繁體中文，臺灣國語。
472.073	496.037	繁體中文，臺灣國語。
505.896	513.981	我們一起來思想。
513.981	530.611	繁體中文，臺灣國語。
534.957	550.514	繁體中文，臺灣國語。
561.476	575.983	繁體中文，臺灣國語。
581.988	594.131	繁體中文，臺灣國語。
617.483	631.871	繁體中文，臺灣國語。
644.787	655.131	繁體中文，臺灣國語。
672.312	692.807	繁體中文，臺灣國語。
717.210	743.559	繁體中文， 繁體中文，臺灣國語。
755.401	762.409	我們一起來思想。
762.409	772.701	繁體中文，臺灣國語。
783.063	828.992	繁體中文，臺灣國語 我們一起來思想。
848.422	886.003	弟兄姊妹早安 早這個非常沒有朝氣 弟兄姊妹早安 早這樣好多了 好多了 剛剛以為是半夜好不好 邀請你從座位上站起來 今天你早早的預備自己﹐帶著家人一起來到神的殿中﹐是為了朝見誰﹐我嗎﹐沒有﹐我待會沒有簽名會。
886.003	908.893	朝見神﹐Amen﹐對不對﹐所以無論你是坐在前面﹐還是坐在後面﹐比較低調的地方﹐沒有 我隨便亂說﹐我不是說你一定坐在那邊﹐就是為了低調﹐不是﹐但是神知道我們每一個人﹐在祂那個生命季節的位置﹐Amen﹐ 無論高處低處,神都知道,其實我們都無法隱藏,你知道嗎?
908.893	917.300	好不好,就強快先來到神面前說,主啊,現在我就是這個樣子,我真是需要祢,需要祢來觸摸我,需要祢來幫助我。
917.300	934.820	好不好,大概用第一首詩歌,我們邀請聖靈來充滿我們,即使好像拿出五柄二魚那小小一點點,神也要使用, 其實拿出那一點點的信心,神也看重而且要複彰,阿們。
934.820	946.403	身體疾病的,心裡困乏的、疲憊的,今天早上,如果你裡面沒有那個熱情說,主我要得著醫治,主我要遇見祢,那今天早上,就真的是枉然,是嗎?
946.903	984.325	好不好每個人都不要空手回去今天都要滿滿的被神來觸摸被神來醫治好不好好不好當你在敬拜的時候為你自己為你的家庭為你的關係為神的家我們就來敬拜呼求聖靈聖靈我們歡迎你哈利路亞哈利路亞哈利路亞伊拉拉拉伊拉拉拉拉 親愛聖靈,數磨數滿。
984.325	998.464	聖地聖靈, 我們歡迎祢,同在將臨。
998.464	1009.072	神的聖靈,我們歡迎祢,同在將臨。
1012.995	1024.044	天命的天父,天能的上帝。
1024.044	1036.494	我們很歡迎祢將領更多更多神的聖靈。
1036.494	1045.759	神的聖靈, 我們懷疑祢同在。
1045.759	1048.481	帶著熱情來期待。
1048.481	1051.424	神的聖靈。
1051.424	1056.469	我們懷疑祢同在。
1056.469	1061.233	將美與罪被獵。
1063.643	1069.029	祈天父先恩賜上帝。
1072.159	1081.303	我們真懷疑祢將更多來呼求。
1081.303	1084.945	神的聖靈。
1084.945	1087.746	神的聖靈。
1087.746	1093.669	我們懷疑祢終在這。
1093.669	1095.390	神的聖靈。
1099.292	1107.073	我們歡迎你同在降臨。
1107.073	1119.996	慈悲憐憫的天父,全能比上帝。
1119.996	1126.897	我們真歡迎你降臨。
1133.319	1135.601	Hallelujah 主我讚美祢。
1135.601	1140.505	亲爱的圣灵,欢迎祢充满祢的教会,充满祢的恩允。
1140.505	1145.488	我们热情期待祢的工作在这地运行,在这地彰显。
1145.488	1148.551	Hallelujah,神的圣灵。
1148.551	1151.553	神的圣灵,我们欢迎祢同在教里。
1151.553	1182.908	神的圣灵, 祈樂由高默下來,高默祢的教會,主要叫我們抬起頭來,聖地歡迎祢。
1200.657	1207.201	你同在降臨,聖地聖靈。
1207.201	1212.684	我們歡迎你同在降臨。
1224.224	1229.485	我們真歡迎祢降臨。
1229.485	1235.126	神的聖靈,我們歡迎祢。
1235.126	1238.647	獻上荣耀,归於至高神。
1238.647	1241.208	神的聖靈,我們歡迎祢。
1247.329	1254.733	先上尊位﹐在祢的寶座前。
1254.733	1258.634	聖地 聖地﹐我們歡迎祢。
1258.634	1263.477	先上榮耀﹐歸立至高山。
1263.477	1268.379	聖地 聖地﹐我們歡迎祢。
1268.379	1272.161	先上尊位﹐在祢的寶座前。
1275.589	1322.361	請愛聖靈 充滿祢的教誨 慈悲憐憫的天父,全能的上帝。
1322.361	1327.586	我們稱歡迎祢降臨。
1332.039	1336.080	生你生你﹐我們歡迎你。
1336.080	1341.161	獻上榮耀﹐歸居高聖。
1341.161	1345.842	生你生你﹐我們歡迎你。
1345.842	1352.363	獻上尊位﹐在你的寶座前。
1352.363	1355.324	生你生你﹐我們歡迎你。
1356.374	1361.402	天上榮耀,歸於至高山。
1361.402	1365.388	神的聖名,我們歡迎祢。
1365.388	1369.975	天上尊貴,在祢的寶座前。
1373.456	1377.259	寶寶神的兒女、神的教會。
1377.259	1380.302	開口來讚美神的一切。
1380.302	1383.824	開口來讚美神的屬性。
1383.824	1384.085	祂是信實的。
1384.085	1385.105	祂是慈愛的。
1385.105	1386.166	在祂永不改變。
1386.166	1388.328	一起開口來禱告。
1388.328	1388.808	哈利路亞。
1388.808	1390.750	哈利路亞。
1390.750	1393.672	哈利路亞。
1393.672	1394.473	哈利路亞。
1396.135	1398.657	主祢是我們思維的盾牌。
1398.657	1405.422	主如果在我們當中有搖擺不定的,今天從祢而來,那堅固兒女心的力量要吃在祂教會中間。
1405.422	1414.269	主啊,今天裡面缺乏的,今天我們要大喊說耶和華是我的牧者,我必不知缺乏。
1414.269	1414.970	一起拍一張。
1414.970	1418.933	因為祂是教我們祂一切都的神,祂明是耶和華。
1418.933	1419.333	一起來。
1420.538	1454.593	从头来升高耶和华 耶和華是我的座﹐彼不是東亞。
1454.593	1460.915	有耶和華的棒子﹐還邀請誰呢?
1460.915	1465.256	耶和華是我名聲﹐彼不是缺帆。
1465.256	1469.017	有耶和華做我清淨﹐必然的聖。
1475.179	1483.203	耶和華是我刺蝟的盾牌，是我的榮耀。
1483.203	1487.505	有事教我抬起頭的聲。
1487.505	1496.489	一手雖然有哭泣，造成我們的歡呼。
1496.489	1500.190	祢是我的盤石，我的幫助。
1504.548	1511.011	祢是將我們抬起頭的神。
1511.011	1512.651	Hallelujah!
1512.651	1514.532	祢是耶和華。
1514.532	1517.333	耶和華是我的主。
1517.333	1523.456	祢不是東洋,有耶和華的幫助。
1524.224	1528.207	對,從頭來宣告一次耶克華。
1542.568	1545.371	耶和華是我的主。
1545.371	1548.655	祢不是榮耀。
1548.655	1552.420	用耶和華祢幫助。
1552.420	1554.362	我還要祈誰呢?
1556.032	1562.396	耶和華是我牧者﹐必不知缺乏。
1562.396	1569.441	用耶和華做我精進﹐必全然得勝。
1569.441	1576.526	耶和華是我思維的分派﹐是我的榮耀。
1576.526	1579.428	有時叫我抬起頭﹐低聲。
1589.036	1592.864	你是我的凡事﹐我的幫助。
1597.108	1603.013	緣合劃持我智慧的輪盤﹐是我的榮耀。
1603.013	1606.815	有時叫我抬起頭的聲。
1606.815	1615.962	弟兄誰來有福氣﹐造成我們的歡呼。
1615.962	1621.227	你是我的盤石﹐我的幫助。
1621.227	1636.068	侯爺哥話﹐ 耶和華是我示威的盾牌﹔是我的榮耀﹔又是教我抬起頭的城。
1636.068	1648.278	英雄雖然有哭泣,造成我們的歡呼,你是我的鼓勵,我的幫助。
1648.278	1655.463	英雄雖然有哭泣, 造成我們必歡呼。
1655.463	1657.925	祢是我的徬徨的頂主。
1657.925	1664.808	用極大的掌聲,歡呼神給我們的神。
1664.808	1671.952	Hallelujah一首雖然有哭泣,造成祂的兒女必歡呼。
1671.952	1678.395	一首雖然有哭泣,造成祂的教會必歡呼。
1678.395	1726.687	AmenHallelujah HallelujahHallelujah主是的一首雖然有哭泣但在造成祢的兒女祢的教會必歡呼Hallelujah祢是我們永遠的依靠主啊今天祢的靈祢的工作在祢的教會中間主啊是提升主啊是恢復是更新是抑制主啊讚美祢主啊這是我們的詩歌這是我們的回應這是我們的禱告主啊求祢吹聽Hallelujah 為難領導我信靠你。
1726.687	1732.788	深知你必令我度過。
