start	end	text
109.053	1555.686	繁體中文， 繁體中文， 各位弟兄姊妹十字架為什麼是你我的榮耀因為凡相信耶穌基督祂為我們成就了十字架的救恩祂為我們一切的罪孽過犯擔當在那十字架上 以至於祂為我們死,為我們復活升天。
1555.686	1561.790	如今,你我只要願意說,是的,耶穌基督,我願意相信你。
1561.790	1565.712	我願意接受你為我成就的十架救恩。
1565.712	1568.994	我願意求你赦免我的罪。
1568.994	1572.696	我的罪與你一起釘在十字架上了。
1572.696	1575.218	在基督裡,我們就是新造的人。
1575.998	1578.922	所以那十字架的記號是什麼?
1578.922	1587.633	就是告訴我們這是紀念著我們的罪孽過犯已經與耶穌基督同釘十字架。
1587.633	1590.857	如今在基督裡我們是新造的人。
1591.237	1593.117	我們是全新的人。
1593.117	1594.778	我們是神的百姓。
1594.778	1596.078	我們不再是孤兒。
1596.078	1598.439	我們也不再是困苦流離。
1598.439	1599.779	沒有依靠的。
1599.779	1601.920	因為耶穌基督是我們的依靠。
1601.920	1603.080	阿們。
1603.080	1604.761	所以這十字架救恩。
1604.761	1609.442	這個十字架的記號是凡信耶穌人的榮耀記號。
1610.742	1612.743	好不好,我們就同聲的來開口。
1612.743	1630.869	如果你已經是基督徒了,就為這十字架的救恩,為這十字架的記號說,主啊,謝謝祢,謝謝祢為我成就十架救恩,謝謝祢讓我有這樣子想到十字架,我就知道這是我榮耀的記號,這是我榮耀的記號。
1630.869	1638.173	你是基督徒了,就向神獻上感謝,你想到什麼,就向祂數算你的恩典, 如果你還不是基督徒的。
1638.173	1639.554	你是新朋友。
1639.554	1642.156	你還沒有接受耶穌基督做你救恩的。
1642.156	1644.878	你今天如今願意在我們當中了。
1644.878	1646.119	我懇求你。
1646.119	1646.660	我邀請你。
1646.660	1650.042	你可以跟這位耶穌祂就在我們當中。
1650.042	1652.525	你說耶穌基督我要認識你。
1652.525	1653.726	讓我可以來認識你。
1654.326	1655.587	我們一起來思想。
1655.587	1658.228	繁體中文，臺灣國語。
1658.228	1660.850	繁體中文，臺灣國語。
1660.850	1662.711	繁體中文，臺灣國語。
1662.711	1664.352	繁體中文，臺灣國語。
1675.759	1677.580	主啊是的我們今天。
1677.580	1680.363	主啊我們在基督裡是新造的人。
1680.363	1685.227	主啊我們不再是好像困苦流利的這一些孤兒。
1685.227	1687.649	主我們是屬於你的。
1687.649	1690.451	我們是天父上帝寶貝的孩子。
1690.451	1693.113	主謝謝你用送駕。
1693.113	1695.375	主啊你捨了你的生命。
1695.375	1699.598	謝謝你為我們道成的肉身為我們捨了生命。
1699.598	1700.379	為我們一切罪孽過犯。
1700.379	1703.302	主啊你這樣子被釘在十字架上。
1703.882	1706.446	繁體中文，臺灣國語。
1719.326	1724.367	祂不是我們的羞恥,祂是我們榮耀的記號。
1724.367	1752.419	主啊,是的,願這十字架永遠是我們, 樂於向人開口﹐分享的榮耀喜好﹐榮美的故事。
1752.419	1757.184	主我們讚美祢﹐我們敬拜祢﹐哈利路亞。
1757.184	1777.327	好不好接著我們就來為我們所愛的人 為我們自己,若現階段你有任何的困境,你有任何的苦難,不管是身體上的疾病的疼痛,或者是在財務上,或在各方面,你說,主啊,我真的好難走,我不知道怎麼走。
1778.319	1780.240	繁體中文，臺灣國語。
1780.240	1781.481	繁體中文，臺灣國語。
1800.913	1804.200	引導我,指教我當如何行。
1804.200	1807.988	好不好,我們同聲的來開口,我們同聲的來禱告。
1807.988	1810.353	哈利路亞主阿師的孩子,真的呼求你。
1812.295	1814.376	主我們當中有許多人。
1814.376	1818.397	主我們有許多人他們在身體上受苦。
1818.397	1822.639	他們的心靈生病了他們在心靈上受苦。
1822.639	1826.440	無論是我們自己的弟兄姊妹或他們的家人。
1826.440	1828.761	主啊無論是在憂鬱的在遭遇的。
1828.761	1831.522	喔主啊是的無論是在身體有癌症的。
1831.522	1833.603	喔主啊身體上有慢性病的。
1833.603	1836.124	主啊是的主啊這些。
1836.124	1839.205	主我們真的呼求祢全能的救主求祢來搭救。
1839.445	1839.765	求祢來打球。
1839.765	1842.066	主啊祢讓我們適時的來被祢提醒。
1842.066	1845.928	我們的眼光就是要單單仰望祢。
1845.928	1846.369	我們就是要依靠祢。
1846.369	1848.029	因為我們一切的源頭來自於祢。
1848.029	1850.211	幫助我們不再依靠自己。
1850.211	1855.693	幫助我們不再依靠自己的經歷。
1855.693	1857.374	自己以為有的。
1857.374	1859.775	幫助我們不再以為看人有的。
1859.775	1862.257	主啊讓我們單單依靠祢。
1862.257	1865.158	主啊是的求祢來幫助我們。
1865.158	1867.559	哈利路亞主啊我們。
1867.559	1868.540	求祢恩待我們。
1870.589	1874.150	主啊我們真的是需要你。
1874.150	1892.676	主啊我們從年初到如今,你放在我們心裡的,那樣子的一個,不管是我們的家人,或我們的親友,我們的同事朋友,還沒信主的,或是最近在苦難當中的,主啊我們都要恭敬交託給你。
1892.676	1898.438	因為我們不是他們的救主,你才是可以拯救他們的救主。
1899.275	1904.179	而且祢是非常非常樂意拯救每一個人的。
1904.179	1909.404	因為主祢的話語說,祢不要一人沉淪,祢要萬人得救。
1909.404	1921.035	主啊,是的,我們真的呼求祢,主啊,求祢來幫助這每一個在困苦中的,每一個還沒有認識祢的人的生命裡面,祢來觸摸他們的心。
1922.483	1926.964	主祢讓他們能夠得著認識祢的恩典。
1926.964	1933.105	就如同我們這一些已經得著認識祢的恩典蒙福的人一樣。
1933.105	1935.805	主啊我們謝謝祢,我們讚美祢。
1935.805	1939.586	是的耶穌基督,我們要稱頌讚美祢。
1939.586	1945.147	祢這位榮耀的救主,祢這位全能的神,我們要感謝讚美祢。
1945.147	1950.308	將一切的禱告、敬拜、送讚都歸給祢,因為祢配得,大家一起說。
1950.708	1973.559	阿們 哈利路亞 讚美主各位弟兄姊妹請坐各位弟兄姊妹好久不見 今天終於有聲音了,而且聲音雖然還沒有全好,但至少可以發聲。
1973.559	1977.983	很開心再次看到淡水堂的各位弟兄姊妹,各位家人們。
1977.983	2006.287	我們今天呢,我們要邀請彭秋芬姊妹, 對 我剛剛怕我自己叫錯了因為她妹妹彭雪芬姊妹就是我們的同工所以呢 我們歡迎我們拍掌歡迎彭秋芬姊妹要跟我們分享她在生命會談課程裡面的經歷 來 弟兄姊妹平安，很感謝神今天可以在這裡跟大家分享見證。
2006.287	2009.569	我跟先生君摩之前我們住在淡水。
2009.569	2014.152	我在英專路那邊經營一間花藝工作室。
2014.152	2020.037	因為花藝課程的關係,有一些學生成為我的好朋友。
2020.657	2026.581	那這些學生,其實他們都比我年長一些,但他們保養很好,看不出來。
2026.581	2030.583	有一些人,其實他們去年才剛當阿嬤。
2030.583	2040.410	那其實呢,他們跟我成為朋友之後呢,我一直很想要介紹他們可以來認識教會,可以進到教會裡面。
2040.410	2046.113	但是因為自己內心的一些猶疑,一些害怕,就一直沒有付諸行動。
2046.954	2069.761	剛剛牧師有提到我的妹妹雪芬,她在桃園堂參加生命會談課程之後呢,她就跟我分享,她說呢,她在加倍的身上,看到她跟她的媽媽,也就是路德姊, 今天加貝在現場,就是說他看到加貝跟他媽媽的相處,他覺得很不可思議。
2069.761	2075.104	因為呢,他們彼此真的非常的互相尊重,然後尊榮。
2075.104	2115.693	我聽了之後就覺得很好奇,因為我長到這麼大,活了幾十年,在我自己身上沒看到, 身邊的人身上也看到不多就是在親密關係裡面夫妻或者是親子關係裡面可以這麼的互相尊重而不是用情緒勒索或者是用控制對方或者是非常委屈的表達我就覺得很好奇所以剛好2月19號有時間所以我也就去參加了在桃園堂的生命會談課程 這個課程的講師是年明哥、路德姐、鄭鈞傳道。
2115.693	2125.316	這三位講師,如果大家熟悉的話,就知道他們是非常幽默風趣,以及路德姐是非常溫柔又清楚。
2125.316	2127.837	年明哥和鄭鈞傳道真的是非常好笑。
2128.217	2133.722	在他們的舉例裡面,有一些雖然都是虛構的一些夫妻的對話。
2133.722	2138.727	但是如果你有結婚,你就會覺得天啊,太心有戚戚了吧。
2138.727	2140.909	這就是平常會遇到的狀況。
2140.909	2144.292	所以那個時候在那個課程裡面我覺得收穫很多。
2144.292	2151.198	特別是當天有介紹到說在溝通的形態裡面有四種。
