start	end	text
10.401	16.483	我們一起來思想。
16.483	29.106	繁體中文，臺灣國語。
29.106	38.609	繁體中文，臺灣國語。
40.401	53.226	我們一起來思想。
53.226	61.789	繁體中文，臺灣國語。
73.148	187.486	繁體中文，臺灣國語 繁體中文， 繁體中文， 我們一起來思想。
187.486	194.708	繁體中文，臺灣國語。
210.196	228.713	繁體中文，臺灣國語。
249.258	259.380	繁體中文，臺灣國語。
283.968	318.345	四五六七八九十十一十二十三場每一個人 選一...欸!
318.345	324.647	不要說話啦!
324.647	340.517	聽我講喔每個人選一場 然後告訴你的這三個人當中的另外兩個人,看你們選的這個場有沒有撞。
340.517	343.379	如果有撞,再換另外一場好不好。
343.379	349.764	每個人選一場,然後一個人開口禱告,另外一個人說阿門。
349.764	353.607	然後再一個人開口禱告,另外一個人說阿門。
353.607	357.651	這樣子我們不必很長,因為我們一共要禱告25場。
359.292	365.174	所以請大家不必禱告的很長。
365.174	381.161	你只要簡單的禱告說,把這場交給主,或者你覺得這場需要有聖靈特別的恩典,特別的帶領,或者你覺得這場需要有好天氣,或者你覺得這場需要有很多非基督徒來。
381.161	386.403	好,現在,欸,我說三個人一組,你們好像都沒有三個人一組耶。
388.285	394.190	三個人一組。
394.190	400.395	來來來。
400.395	404.319	順便講點小事情。
404.319	408.362	這邊四個人一組的。
408.362	413.427	不要說話。
413.427	413.787	對不起。
416.647	425.512	三個人一組,你禱告的聲音,要三個人都聽到才可以。
425.512	427.673	等一下,還沒講完。
427.673	433.576	你禱告的聲音不能讓另外一組的人聽到。
433.576	435.938	你要怎麼站才可以?
435.938	437.919	三個人要站,靠在緊緊的。
440.879	448.841	你們四個人那麼遠,你們講話的聲音,你們彼此聽不到,別人會聽到。
448.841	456.123	或者你們變兩個人一組好了,像他們這樣,兩個人一組。
456.123	458.383	每個人選一場。
458.383	463.024	選好了沒有?
463.024	465.265	選好了,來,開始禱告。
469.053	473.617	是的主還是在這裡為福利社區的禱告。
473.617	479.021	是的主只為12月17號的這個職場團聚的福音步道會禱告。
479.021	480.803	主耶穌是的聽我們的禱告。
480.803	483.565	讓職場步道會人數能夠變得有更多的人。
483.565	487.048	他們在職場裡面經歷你自己。
487.048	494.114	主耶穌我們為這個12月17號的光明小組的大海新世界街頭步道禱告。
494.114	495.635	是的主聽我們的禱告。
495.635	497.897	奉主耶穌順便禱告阿們。
498.217	507.199	哈利路亞,讚美主,謝謝祢,主聽我們的禱告,奉主耶穌基督的名禱告,阿們。
507.199	522.403	好,接下來請同樣的小組選另外三場,另外三場,不要選同樣的場次喔,好了沒有?
523.831	526.372	好了,請同聲開口禱告。
526.372	527.813	來,請,Hallelujah!
527.813	531.555	是的主,是的主,聽我們的禱告。
531.555	534.157	哦,主耶穌,是的,還是在這。
534.157	540.460	為這裡高雄福音中心,為這個23號的這個國家新都社區禱告。
540.460	548.704	我們也為這個10月17號的這個節日音樂趴,但卻戶外的廣場、街頭報價音來禱告。
548.704	567.790	主耶穌,是的,為費城社區的這個 奉主耶穌基督的名宣告。
567.790	569.610	聽我們的禱告。
569.610	570.890	阿們。
570.890	571.931	好了。
571.931	572.791	來。
572.791	574.651	再換三場。
574.651	576.012	不一樣的三場。
576.012	576.712	來請。
586.886	592.430	好,我們開始禱告了,來,起來。
592.430	597.453	我們在這裡向祢呼喊,主耶穌聽我們的禱告。
597.453	625.929	當我們在這裡禱告的時候,你要讓這些場次, 每一場都看見祢的恩典,看見祢的榮耀,看見祢的祝福,試著主聽我們的禱告,謝謝祢,謝謝祢,Hallelujah,讚美主,試著主聽我們的禱告,奉主耶穌基督的名禱告,Amen。
625.929	663.333	各位親愛的同工,這些只是我們下個禮拜一半的佈道會而已,還有另外一半,來請 我們整個從今天一直到下禮拜天二十五場。
663.333	667.454	上個禮拜到現在三十八場。
668.592	671.334	所以Hallelujah 讚美主。
671.334	680.861	淡江教會不只是一個禱告的教會,也是一個傳福音的教會,也是一個弟兄姊妹肯動的教會。
680.861	682.663	Hallelujah 讚美主。
682.663	686.306	所以好了,你們剛才把這些場子通通禱告完了嗎?
686.886	689.108	沒有,對不對。
689.108	692.010	你們才輪了三次而已嘛。
692.010	699.336	所以接下來還有哪一場還沒有輪到,還沒有禱告到的,來請你趕快把它提出來。
699.336	709.224	告訴你後面有紅字的, 是比較複雜的,那個負責的童工需要更付代價的。
709.224	724.037	所以比如說要報名,他報名的那個後面一定夾得很多,要更付代價的,比如說他要有特殊的訓練,或者他要有特殊的餐飲預備之類的話。
727.568	728.969	還有什麼?
728.969	733.792	石門國中要報名,而且現本校的學生。
733.792	747.800	所以這個石門實驗中學,我們真的禱告說,求主讓全校的師生,都能夠真的聽到上帝為他們而降生。
747.800	751.783	耶穌基督降生,讓他們的生命翻轉跟改變。
751.783	753.203	來,選到沒有?
753.203	754.985	你的另外的三場選好了沒有?
755.725	758.699	趕快趕快三個人趕快選。
758.699	760.005	沒有選的趕快選。
