start	end	text
79.292	305.779	繁體中文， 繁體中文， 跟上這波復興的浪潮。
305.779	308.743	明白教會現在神在淡江教會的脈動。
308.743	310.085	我們在禱告會當中。
310.085	311.507	禱告事項都會播出來。
311.507	312.888	你可以掃QR code進來。
312.888	314.791	你說我不會禱告可不可以上線。
314.791	314.971	可以。
314.971	316.593	你就先來學習。
316.593	318.095	也沒關係你就打靜默。
318.095	321.459	然後記得上線把你的麥克風關靜音。
321.459	322.420	那你就可以聽到。
322.961	328.146	整個禱告會所有的禱告的聲音﹐帶導的是向所有的敬拜。
328.146	330.969	我們就在禱告中一起與神前進。
330.969	331.270	阿們。
331.270	334.473	所以請你把你的手機就拿起來掃進來。
334.473	338.437	進來的時候,一定記得要關靜音,這樣就可以了。
338.437	341.000	你要禱告的時候,要讀經的時候,你再把麥克風打開。
341.220	345.643	那你就會開始經歷到整個生命,很多的翻轉跟更新。
345.643	348.725	很多人上線之後發現,真是太奇妙了。
348.725	352.767	原來短短40分鐘,我敬拜、我讚美、我禱告也會教會守望。
352.767	357.691	我整個人好像充滿電了,可以開始一天的工作、服事。
357.691	357.931	阿們。
357.931	360.472	好,我們一起起立,我們一起來禱告。
360.472	396.492	我們相信, 我們相信我們的教會是一個禱告的教會我們先同聲開口來禱告求神的寶座設立在眾教會在我們教會當中我們特別求主大大束縛所有在教會所有服事的人員不管是從牧師的講到我們的行政團隊影音團隊逐日學團隊所有你想得到的服事同工我們都來禱告求神大大的紀念祝福他們同聲開口來為他們禱告守望 是耶穌祢的合作，設立在我們的﹑極寬的每一個信仰當中。
396.492	408.785	耶穌為我們穿戴全部軍裝﹐擁抱血色蓋我們﹐聖靈充滿我們﹐容我邀請祢的同在﹐求祢解禁我們﹐使我們 我們一起來思想。
408.785	412.708	繁體中文，臺灣國語。
412.708	414.149	繁體中文，臺灣國語。
425.879	427.961	繁體中文，臺灣國語。
440.896	483.124	愛你的心﹑你指導的﹑求你來幫忙﹑每一個愛你的弟兄姊妹﹑主啊﹑謝謝你﹑大大的春暖﹑大大的折銷﹑我們的一生﹑全世界的榮光﹑主啊﹑大能的光盛在你﹑在你的小腿上﹑ 謝謝你來祝福紀念每一個在你教會建造參與福祉的弟兄姊妹祝你大大祝福我們今天所有的牧長團隊所有的福祉團隊不管在哪一個堂點我們要看見你寶座設立你的全能運行 主讓我們都經歷到在基督祢主啊得勝喜樂的生命與恩膏。
483.124	485.624	主我們讚美祢讚美祢謝謝主。
485.624	491.646	我們接下來就來為我們每一個弟兄姊妹我們跟神的關係可以更加親近。
491.646	493.486	我們可以更多的渴慕神。
493.486	496.867	我們說主啊我在這裡求祢教導我。
496.867	500.227	求祢教導我怎麼更加靠近祢明白祢的心意。
500.227	506.910	好叫我預備自己在這波復興的浪潮我可以被主祢 我可以跟上主祢的道路。
506.910	508.291	我可以跟上主祢的道路。
508.291	509.392	我可以跟上主祢的道路。
509.392	511.754	我可以跟上主祢的道路。
511.754	514.376	我可以跟上主祢的道路。
514.376	517.298	我可以跟上主祢的道路。
517.298	518.499	我可以跟上主祢的道路。
518.499	519.540	我可以跟上主祢的道路。
519.540	521.982	我可以跟上主祢的道路。
521.982	523.283	我可以跟上主祢的道路。
523.283	526.206	我可以跟上主祢的道路。
526.206	528.587	我可以跟上主祢的道路。
534.292	541.380	求我神主的使命,願造神的話,傳修在我的神關係。
541.380	550.930	耶穌寶佛在,求祢親子,把天上的幻色能力使命呼噪,傳遞下來,讓祢的百姓被領受,專利回應。
551.391	555.295	繁體中文，臺灣國語。
568.848	569.909	繁體中文，臺灣國語。
587.671	596.278	主我們謝謝祢,主謝謝祢親自的祝福弟兄姊妹,透過每天的獨經禱告,生命在基督裡興盛起來。
596.278	599.900	主啊,讓我們在祢的話語當中,領受聖靈的教官。
599.900	603.883	主讓我們在世上的年日,可以謹慎度日。
603.883	610.909	主啊,讓我們可以把祢的愛全能分享在我們的家中,在我們的教會,在我們的職場。
611.169	613.450	主我們謝謝祢,我們讚美祢。
