start	end	text
106.135	267.557	繁體中文， 繁體中文， 弟兄姊妹平安，平安。
268.899	282.223	我們在十點鐘正式開始主日之前,我們有一段時間大家來安靜心,然後之後我們要一起禱告,一起來為我們的主日守望。
282.223	295.667	因此,我邀請大家現在就在我們的座位上,我們就先安靜心,先把眼睛閉起來,稍微把你的新信念轉向神。
297.278	302.361	因為往往是在我們安靜當中,我們最容易遇見神。
302.361	314.308	在我們看到一個水池,當它是很亂的時候,你根本看不到水池底下有什麼。
314.308	322.954	但是當你平靜,那個水是安穩的時候,你可以看得很清楚。
322.954	346.533	我們就安靜一小段時間, 繁體中文，臺灣國語。
419.701	427.706	感謝讚美主,我們要請大家從座位上站起來。
427.706	441.594	我們一起來,邀請神的同在,邀請聖靈今天大大的運行在會場,每一個角落,運行在我們每一個人的心裡。
441.594	444.696	我們今天每一個人都要遇見神,是嗎?
445.930	448.711	每個月都要被聖靈充滿是嗎?
448.711	454.592	我們現在就來邀請神的同在,邀請聖靈大大的充滿在這裡。
454.592	462.414	你可以用各樣的方式,你用靈歌,你用悟性的禱告,你用方言禱告都可以。
462.414	464.954	我們自由的來歡迎神的同在。
481.049	486.993	我們一起來思想。
486.993	490.836	繁體中文，臺灣國語。
511.988	517.012	我們一起來思想。
517.012	537.421	繁體中文，臺灣國語 主啊祢更多更多的充滿。
537.421	539.162	主啊充滿在這裏。
539.162	541.824	主啊祢同在在這裏。
541.824	543.805	主啊在這裏每一顆渴望的心。
543.805	545.626	主啊都要被祢所充滿。
545.626	547.707	主啊都要被祢所充滿。
547.707	548.448	是的。
548.448	549.929	主啊祢是太人性的神。
549.929	552.370	祢是太人性的神。
552.370	553.010	主啊這裏每一個人。
553.010	554.911	主啊都希望能夠遇見祢。
554.911	557.213	主啊祢今天就來做工。
557.213	558.914	主啊工作在每一個人的身上。
559.514	561.735	每一個角落,沒有一個辣掉的。
561.735	563.635	弟兄姊妹,我們全心來呼求祂。
563.635	569.257	你不要看別人,你不要想別人在做什麼。
569.257	572.979	你不要想自己禱告的聲音,是別人可以聽到嗎?
572.979	578.381	我們等一下來禱告的時候,請全心對神禱告。
578.381	582.662	因為神現在就在這裡,神就在聽你的禱告。
582.662	584.483	神就在聽你的禱告。
585.043	590.048	主我們今天要遇見祢,主祢的工作要在這裏。
590.048	596.054	主啊主啊,我們真的是要傾身盡力,祢是又真又活的神。
596.054	603.911	主祢不再是我們瘋鬼有祢而已, 就讓每個人的心都對準寶座。
