start	end	text
15.657	300.418	繁體中文 繁體中文， 繁體中文， 繁體中文， 弟兄姊妹平安提醒大家如果你手上有帶一些可能不是水之類的可能咖啡啊果汁飲料進到會場的話麻煩現在我們有一點時間把這些的飲料放到我們的會堂的外面讓我們一起來維持我們會堂的乾淨 提醒大家,如果你手機可以的話,可以關震動或是關成靜音。
300.418	313.285	讓我們能夠很自在的,不受打擾的,一起來敬拜神。
313.285	314.566	求神來預備我們的心,好嗎?
325.469	330.331	讓我們現在有一段安靜的時間,先將我們自己講給神。
364.872	384.557	弟兄姊妹平安，讓我們從我們的座位上面起立。
384.557	391.719	我們看見疫情是日漸的升溫,但我們仍舊是要來到神的面前來感謝祂。
393.507	396.649	因為我們能夠有生命氣息的來到祂的面前。
396.649	403.172	我們為什麼要一同的來敬拜呢?
403.172	410.796	因為不只是要用我們的口來稱頌讚美這位配得我們稱頌的神。
410.796	418.780	而是我們要一同的來見證,讓別人看見神在你生命當中的一切的工作。
420.282	422.202	讓我們能夠互相的激勵。
422.202	431.765	當我們看見我們身邊那一切,銀彩般見證人的時候,也激勵我們要繼續的往前。
431.765	443.368	我想問弟兄姊妹,你最近經歷什麼時候呢?
443.368	456.680	你最近一次, 真實的經歷,神在你生命當中,或是你看見,坐在你身邊的人,那一切的作為,是什麼時候呢?
456.680	479.870	感謝愛我們的神,不論是最近,或是好久以前,我們都可以坦然無懼地來到神的施恩寶座前,因為要叫我們的生命能夠得到連續, 靠著聖靈,我們能夠勝過。
479.870	488.772	因此預備我們的心,預備我們的禱告,讓我們先來到神的面前,開口來稱頌祂,好嗎?
488.772	502.235	當金麥團用這首詩歌,一起來服侍大家的時候,你可以用你可以的方式,用靈歌,用誦詞,用一切在心裡面的禱告,來到神的面前,來稱頌祂的名。
504.241	516.209	因為那不論聽見的﹐有發出聲音的﹐或是沒有發出聲音的﹐在我們當中的神﹐祂已經赐下同在﹐並且祂已經聽見。
