start	end	text
0.009	2.169	提昇他們的眼光,提昇他們的信心。
2.169	6.970	讓他們在,即使在黑暗當中,他們也能夠看到微光。
6.970	11.791	在黑暗當中,他們仍然能夠來定靜在這個十字架。
11.791	16.612	願意背起十字架來跟隨你,就來提昇我們的信心。
16.612	24.854	在一些渴慕尋求你的人當中,來提昇我們,來建築我們的信心,讚美你。
25.094	31.676	我們也要為一些﹐能夠真的是求神﹐放下更深的渴慕在我們的當中。
31.676	36.757	我們一起開聲來禱告﹐求神真的是﹐讓我們真的是更加的來渴慕祂。
36.757	41.658	我們一起開聲﹐主要讚美祢﹐主要釋下一個渴慕的勳志在我們裡面。
41.658	58.250	主要讓我們定義來跟隨祢﹐主要讓我們定義來選擇祢﹐主要讓我們真的是﹐在尋找祢的時候﹐主要就大大的來尋找祢﹐ 主啊,讓我們真的是主啊,在祢的裡面,主啊,被祢的聖靈來充滿。
58.250	61.515	主啊,在一切的乾旱、琵琶、污水之地的裡面。
61.515	66.162	主啊,我們的渴慕可以得以保住。
66.162	67.424	主啊,讚美祢,謝謝主。
67.424	68.225	主啊,哈利路亞,哈利路亞。
68.285	69.126	阿蕾路亞。
69.126	69.986	主啊,求祢憐憫。
69.986	74.109	主啊,在一些這些需要被醫治。
74.109	77.110	主啊,需要被祢幫助的肢體的裡面。
77.110	80.312	主啊,求祢親自來做醫治恢復的工作。
80.312	82.134	主啊,也更多把那個渴慕。
82.134	84.875	對祢的渴慕放在主啊,每一位。
84.875	87.597	主啊,主啊,渴慕祢的弟兄姊妹的心中。
87.597	90.339	主啊,主啊,以致於主啊,他們真的是能夠遇見祢。
90.339	92.180	主啊,不是風雲有祢。
92.180	93.761	主啊,乃是親眼見祢。
93.761	97.063	我們也來為這個國度的需要來禱告。
98.370	100.151	麻煩下一張投影片。
100.151	103.272	那我們也來為信主的家人來禱告。
103.272	109.535	我們也是提名,如果你有想到哪一位信主的家人,我們也開聲來為他禱告。
110.538	111.438	我們一起開聲。
111.438	113.939	主啊,讚美祢,謝謝主。
113.939	135.883	主,讓這些弟兄姊妹,主啊,我們所提名到祢面前的,主啊,謝謝親朋好友,主啊,這些的家人,主啊,他們真的真的都被祢聖靈來感動,主啊,被祢真真是來到祢的面前,進到祢的水深之處,主啊,更深的來認識祢,哈利路亞,讚美祢,謝謝主。
136.203	140.127	主要讓我們真的是能夠盼望我們家人能夠歸向祢,歸向祢。
140.127	144.392	主要祢把那個順利的感動,順利的啟示,放在這些為信徒的家人的心中。
144.392	156.906	主要以至於他們真的是能夠聽見祢對他們的呼召,聽見主要祢對他們說的話,主要讓他們真的是早日來歸向祢。
157.346	158.086	成為祢的門徒。
158.086	160.807	被祢裝備起來。
160.807	165.008	深深紀念我們在祢面前,迫切禱告的心。
