start	end	text
17.125	23.490	我們有一段時間,單單的來,來到神面前。
47.534	55.243	如果你心中有旋律的話,你可以把它釋放出來。
55.243	62.632	讓我們用詩章誦詞靈歌來敬拜我們的神。
83.507	90.615	請祢的愛充滿我們。
90.615	99.666	就讓我們的腹中永留出脫水教堂。
146.749	162.632	主啊 祢的聖靈來除掉我們生命當中的慘淚。
162.632	167.513	主啊 一切在靈裡面的這些的重擔壓力。
167.513	169.454	這些的渣滓。
169.454	170.014	主啊 求祢來煉緊。
170.014	172.915	讓我們的靈更加的釋放來到祢的面前。
172.915	174.715	可以踴躍的來敬拜祢。
176.118	179.161	主要讓我們不是在意那個旁人的眼光。
179.161	182.305	主要不是在意這樣的一個環境。
182.305	186.930	主要讓我們就是淡淡的來刻目。
186.930	188.152	來傾倒我們的心對著祢。
209.138	213.222	主要把今天的聚會都交在祢的面前。
213.222	219.027	主要祢的聖靈,主要如那個江河湧流在我們的聚會的當中。
219.027	224.452	主要如同那個瀑布,主要傾倒下來。
224.452	227.114	哈利路亞,讚美主。
227.114	234.901	主要讓我們帶著跡身的渴慕,也帶著這個極大的盼望來到祢的面前。
234.901	235.522	哈利路亞。
236.800	239.843	那邀請弟兄姊妹我們一同站立起來。
239.843	244.507	我們一起來為各樣的事情來禱告。
244.507	247.489	首先我們來為我們為信主的家人朋友來禱告。
247.489	250.652	我在這邊做個小的見證。
250.652	255.736	我們每次在為這些的福音朋友禱告的時候,我也為我的外婆來禱告。
255.736	259.420	結果外婆今年九月份的時候受洗信主。
260.316	273.500	我自己也很被鼓勵,所以我們就更多帶著一個渴望我們家人朋友能夠信主的心,我們一起為我們提名的這些家人朋友禱告。
273.500	278.962	相信神的時間到了,神的工作就領到他們,他們就歸到主的裡面。
278.962	281.943	我們一起開聲為我們,提名為他們來禱告。
282.363	329.486	讚美祢 讚美祢 祂謝謝祢 祂真的是幸福謝謝祢把祂的外國朋友 交在祢的手中真的是謝謝祢 祂能夠歸到祢的名下我們當地許多人的家人朋友祂們的這些名字帶到祢的面前求祢顧念 讓祂們都能夠受洗歸到祢的名下 祂們都能夠來認識祢,都能夠領受祂那個歧視,這個專屬於祂們的歧視,專屬於祂們心裡明白過來,祂們心裡醒悟過來,知道祂祢是又真又故的主,祂是不是人做的,祂乃是祢的靈方的神事。
330.026	331.706	Hallelujah 讚美主。
331.706	332.987	謝謝祢,謝謝祢。
332.987	339.989	我要把我們所提名的這些家人都帶到祢的面前,求祢更大的來工作,更深的來工作。
339.989	353.173	有時候我們不知道如何來傳福音,有時候我們不知道如何來跟他們傳講真理,但是祢的靈一感動他們,他們就醒悟過來。
353.933	383.723	主啊 讓我們不是依靠勢力不是依靠才能主啊 乃是依靠祢的領放跟誠實主讚美祢 謝謝主主啊 我們先將這個榮耀都歸給祢求祢真的是垂聽我們的禱告主啊 我們相信祢已經做成了主啊 我們就是不放棄的真的是昼夜的來呼求主啊 讓這個祭堂都活不熄滅主啊 讓這個家庭祭堂都活不熄滅 主啊 以至於主啊 祢得到當地的榮耀。
383.723	385.664	主啊 在祢的時間的裡面。
385.664	387.586	主啊 祢的時間最美好。
387.586	390.107	主啊 祢照萬物各岸其實成為美好。
390.107	393.970	主啊 讓我們的家人朋友信主歸向祢的這件事情。
393.970	397.592	主啊 也照著祢的時間表來進行。
397.592	399.133	主啊 求祢 我們真的是呼求祢。
399.974	434.425	好 下一張同意片 那我們也來為神設立寶座在眾教會來禱告,讓祂能夠串聯眾教會,使教會都能夠復興,都能夠不斷的來悔改,不斷的來迴轉向祢,主要依據祢的靈,主要祢的順領大大的來介入眾教會,我們一起開聲來禱告。
434.906	437.348	阿蕾路亞 主啊 為宗教會讚美祢。
437.348	439.930	主啊 為我們所有的旁邊。
439.930	443.513	主啊 主啊 時常過典的這些地方。
443.513	445.094	主啊 向祢獻上感謝。
445.094	447.436	主啊 盼望祢更大的工作。
447.436	449.758	主啊 主啊 更大的順利的帶領。
449.758	450.499	順利的水流。
450.499	453.161	主啊 在前方帶領著我們。
453.161	454.722	主啊 依據我們的禱告。
454.722	455.383	我們的敬拜。
455.383	458.986	主啊 都能夠在你的水流的裡面。
458.986	459.987	主啊 你的在哪裡。
459.987	461.088	主啊 哪裡就有自由。
461.088	462.228	哪裡就有你的快。
462.228	463.770	哪裡就有屬你的敬拜。
464.070	465.871	主啊 哪里就有祢的公義。
465.871	468.613	主啊 哪里就有祢的信心。
468.613	471.135	主啊 哪里就有祢的全能。
471.135	473.316	哈利路亞 讚美祢來遮蓋宗教會。
473.316	475.978	來串聯宗教會。
475.978	477.659	主啊 讓宗教會在至高者的隱密處。
477.659	480.561	跟全能者的印象。
480.981	483.823	被祢的保險完全的已經贖回了。
483.823	489.566	主啊,我們能夠真的是來回應祢,來建造教會。
489.566	496.610	主啊,把所有的教會,主啊,把桃園堂,我們更多更多為教會祷告,我們不禁止的開口,阿蕾路亞。
496.610	501.613	主啊,讚美祢,謝謝主,謝謝主把這個我們各個的堂點都交在祢的面前。
501.613	508.697	主啊,讚美祢,主啊,把這個淡水淡海,主啊,桃園,主啊,高雄,文山澎湖都交在祢的面前。
509.377	542.000	下一章 我們一起來為國家社會來禱告。
542.000	543.100	我們一起來來禱告。
543.100	543.420	Hallelujah!
543.420	545.081	主讚美祢,謝謝主。
545.081	547.821	主啊,祢掌權在我們國家社會的裡面。
547.821	549.962	主啊,祢的運行在這些領袖。
549.962	553.023	主啊,在這些執政掌權的心中。
553.023	557.724	主啊,使他們真的是不斷的,真的是同他們的價值觀。
557.824	560.125	繁體中文，臺灣國語。
574.309	594.298	你所聽見的聖靈是參通萬世的聖靈向祂們來顯靈在祂們的信中對祂們說話即使祂們不認識祂求祢真的是開祂們的心開祂們的眼讓祂們真知道祢 主啊 因為祢是同管萬有的神。
594.298	604.784	主啊 因為祢的旨意行在地上如同行在天上。
604.784	608.285	主啊 也使用許多為信主的這些百姓。
608.285	612.988	主啊 能夠成就祢的旨意。
613.268	614.849	繁體中文，臺灣國語。
635.401	637.623	主啊,能夠將福音傳出去。
637.623	639.325	能夠帶出宣教的使命。
639.325	643.329	主啊,無論我們信主的人數有多少。
643.329	645.171	主啊,你能夠成就的。
645.171	647.673	主啊,你必定能夠成就。
647.673	649.295	HALLELUJAH。
649.295	649.575	HALLELUJAH。
649.575	652.598	讓我們的這個國家成為列國的祝福。
652.598	655.401	主啊,讓我們在聖上的領域。
655.401	657.223	主啊,也成為眾人的祝福。
657.223	657.383	HALLELUJAH。
657.483	661.544	我們也為我們自己跟神的關係能夠更親近來禱告。
661.544	662.425	我們一起開聲。
662.425	664.686	阿蕾路亞讚美主。
664.686	667.867	讚美主謝謝主。
667.867	670.208	謝謝主主啊祢來做我們的主。
670.208	671.868	主啊主啊祢是我們的王。
671.868	672.848	主啊祢是那個受告者。
672.848	675.569	主啊祢是要來做我們的神。
675.569	676.910	阿蕾路亞阿蕾路亞。
677.090	681.953	在我們裡面,我們接受那個福音的奧秘。
681.953	686.256	更多更多,讓我們生命長存。
686.256	690.719	成為我們的王,成為我們個人的主。
