start	end	text
5.162	15.010	我們一起來思想。
15.010	31.784	繁體中文，臺灣國語。
37.346	53.340	繁體中文，臺灣國語。
77.125	90.917	我們一起來思想。
90.917	101.245	繁體中文，臺灣國語。
107.176	121.701	繁體中文，臺灣國語。
141.049	160.458	繁體中文，臺灣國語。
171.834	178.956	我們一起來思想。
178.956	195.101	繁體中文，臺灣國語。
211.630	296.630	繁體中文， 繁體中文， 繁體中文，臺灣國語。
313.524	327.123	繁體中文，臺灣國語。
360.282	367.209	我們一起來思想。
367.209	372.455	繁體中文，臺灣國語。
404.531	433.857	繁體中文，臺灣國語。
437.176	478.241	繁體中文 我們一起來思想。
478.241	491.110	繁體中文，臺灣國語。
504.189	506.870	我們求上帝來垂聽來應允。
506.870	536.344	所以是不是請所有弟兄姊妹在我們今天禱告之前就我們大家一起來就是念這段詩篇八十八篇十三節請耶和華我呼求你我早晨的禱告要達到你面前我們再一次耶和華我呼求你我早晨的禱告要達到你面前感謝主 好,那我們就開始我們今天的這個禱告。
536.344	539.926	好,第一張投影片。
539.926	548.430	是的,我們就為我們每一個人在上週主為我們的開路,神賜給我們身上的恩典跟拯救,我們一起來讚美祂。
548.430	551.952	我們在這個時候是不是邀請我們所有的弟兄姊妹就從座位上站起來。
558.541	565.626	讓我們就一起開口,來感謝讚美我們的神。
576.288	578.130	祝我們在陪祢。
578.130	580.292	祝我們在陪祢。
593.746	623.408	是的主我們感謝讚美你,讓我們一同真的是來讚美神,因為在這個過去的一週裡面,神已經真的在我們的生命當中,彰顯祂的恩典的開路,是的主我們謝謝你,感謝神真的是為我們開闢道路,讓我們真的能夠在各樣的困難當中,我們真的是得著了主你的帶領跟禱告,主我們謝謝你,也求主真的是在我們的生命當中掌權作王, 讓我們每天我們就是快跑的來跟隨你。
623.408	625.389	讓我們真的是敞開我們的心。
625.389	628.670	把我們的眼目就單單定睛在主你的身上。
628.670	631.491	讓主你真的是成為我們生命的主。
631.491	635.292	讓主你真的是帶領我們一生都走在和神心裡。
635.292	636.773	主你的道路當中。
636.773	638.233	主我們謝謝你謝謝你。
638.233	640.454	接下來我們也為下一張。
641.869	645.710	我們為神真的是供應我們身心靈一切的所需。
645.710	647.930	我們一起來開口禱告。
647.930	679.597	HALLELUJAH 神的主,謝謝祢,謝謝祢,祢真的是... 在這個時候,我們要把自己的身心靈交托在主祢的身上。
679.597	681.618	求主親自的來帶領我們。
681.618	683.860	主啊,我們真的是有時候我們軟弱。
683.860	688.062	主啊,我們有時候會面臨到很多我們真的不知道的困境。
688.062	691.184	但是我們知道,主祢在我們的生命是掌握我們的主權。
691.544	695.306	主啊我們就單心樂意的我們幫我們自己全能交托。
695.306	698.688	是的主幫助我們真的是恩上加恩、力上加力。
698.688	701.869	主啊真的是時時刻刻就賜給我們力量、勇氣。
701.869	708.512	主啊幫助我們讓我們真的是每天我們就是所行所事。
708.512	709.713	主啊我們就尊主偉大。
709.713	715.156	我們就是尊主祢真的是在我們的生命在我們的家庭當中做王長權。
715.156	715.776	我們謝謝祢。
715.896	724.691	謝謝你,也真的是求主在我們的生活的每一個層面當中,都能夠在我們的身心靈上面充分滿足的供應。
724.691	726.794	主我們謝謝你,讚美你。
726.794	727.034	下一張。
729.343	745.307	接下來我們要為我們還沒有信主的﹐我們的家人﹐我們的朋友﹐我們來為他們禱告﹐求他們也跟我們一樣﹐能夠來同享這樣子的一個福分﹐我們一起能夠同心﹐合意的走在主的道路當中﹐我們一起開口來禱告。
745.307	779.894	哈利路亞﹐是的主﹐我們就為... 繁體中文，臺灣國語 我們一起來思想。
779.894	781.335	繁體中文，臺灣國語。
781.335	782.536	我們一起來思想。
782.536	784.297	繁體中文，臺灣國語。
790.162	823.129	感謝主﹐ 好,接下來我們就為神寶座設立在眾教會來禱告。
823.129	835.257	我們真的是為我們的淡水堂、桃園堂、我們的淡海堂,還有我們的高雄福音中心,甚至於我們現在在巴黎,我們也成立了一個福音站。
835.257	846.004	我們真的是同心合意的,就為我們教會的所有的這些據點、會堂,我們一起同心合意來禱告,求神帶領更多的人進到教會。
846.004	846.744	感謝讚美主。
847.705	910.305	主耶穌,我們在祈禱,祈禱祈求祢,祈禱祈求祢,祈禱祈求祢,祈禱祈求祢,祈禱祈求祢,祈禱祈求祢, 聖主我們也要為這個神在我們的這個宗教會設立寶座真的是來迫切的禱告求神的同在來充滿我們的聚會真的是讓我們的這個敬拜讓我們的這個我們所有的一切的這些弟兄姊妹的帶領主啊都大有果效 主啊,讓更多的這些未信主的弟兄姊妹,真的是透過我們眾教會的力量,把那些福音的朋友,能夠更多的帶到教會裡面來。
910.305	932.317	主啊,真的也求祢,讓我們所有的這些同工,祢保守他們的身心靈,讓他們真的是透過諸般的智慧,他們能夠在這個不同的這樣子的一個據點當中,主啊,他們能夠來影響當地的這樣子的一個百姓,讓更多的人,他們願意來迴轉,然後進到教會, 我們一樣,同享這樣子的一個福分。
932.317	937.902	主,我們謝謝祢,讚美主。
937.902	940.504	好,下一張。
940.504	951.092	我們接下來也為福音的工作,我們要大大的在臺灣各地,真的是彰顯,讓真的福音的工作,一切我們所的開展,都盡頭順利。
951.092	952.853	我們一起開口來禱告。
952.853	969.573	哈利路亞,神的主,我們在這個時候,就為福音的工作,要進去臺灣,不斷地這樣進去, 我們一起來思想。
969.573	972.598	我們一起來思想。
972.598	974.341	我們一起來思想。
978.541	981.542	我們也為福音在臺灣各地。
981.542	985.403	我們求主真的是大大的成為我們的幫助。
985.403	988.785	要在臺灣遍地真的是遍傳來禱告。
988.785	992.466	求主真的就是打開那個福音的這個門路。
992.466	999.348	讓真理的種子就大大的進入到每一個弟兄姊妹的他們的這個身上。
999.348	1003.870	讓我們真的是能夠這個更多的人能夠得著這個永生的機會。
1003.870	1006.291	我們謝謝你、讚美你、讚美你。
1006.291	1006.831	Hallelujah!
1007.602	1011.264	感謝主,下一章。
1011.264	1019.467	最後,我們就為神,要在我們的國家,社會,祂的掌權,來運行,我們一起開口同心來禱告。
1019.467	1019.767	Hallelujah!
1030.572	1033.054	繁體中文，臺灣國語。
1054.172	1060.935	我們要來為我們的國家、為我們的社會來禱告。
1060.935	1064.417	求祢給我們的領導人真的是有智慧、有能力。
1064.417	1069.579	祢在這個臺灣要彰顯祢的大能。
1069.579	1072.160	讓他們真的來治理臺灣。
1072.160	1075.822	讓他們所做的每一件事情都能夠合神心意。
1075.822	1082.305	我們也求祢真的是來帶領我們臺灣不管是中央或地方的各個政府的這些領導人。
1082.585	1088.948	祖阿郎他們知道祖我們真的是在這塊土地上面我們就是成為神的子民。
1088.948	1097.652	祖我們就是要來彰顯祖你在這塊土地上面要大大的真的是彰顯你在這個土地上面你的這個心意。
1097.652	1102.555	祖我們謝謝你謝謝你也求祖真的是保守我們兩岸的這個領導人。
1102.995	1106.277	祂們有智慧有能力。
1106.277	1108.739	祂們真的是知道找到一個好的方法。
1108.739	1112.622	怎麼樣能夠尋求一個和平的方法跟和平的奇蹟。
1112.622	1115.604	讓臺灣真的是不受戰爭的威脅。
1115.604	1119.346	我們將這些榮耀、頌讚都歸給祢。
1119.346	1124.430	我們把今天我們的禱告就現在主祢的寶座前。
1124.430	1125.531	求主來垂聽。
1125.531	1129.713	求主真的是 透過我們今天的禱告的呼求。
1129.713	1130.853	主啊祢來應允。
1130.853	1132.234	主啊幫助我們。
1132.234	1135.275	我們今天真的是感謝讚美主。
1135.275	1138.016	也求主真的是帶領我們今天的聚會。
1138.016	1139.997	從頭開始到末了。
1139.997	1142.538	一切都在主祢的看顧跟保守。
1142.538	1143.699	一切進都順利。
1143.699	1149.141	我們這樣禱告祈求都是奉主耶穌基督最寶貴的名。
1149.141	1149.321	阿們。
1152.500	1156.384	感謝讚美主。
1156.384	1158.266	我們的神是凡事都有可分的神。
1158.266	1164.091	是的,在我們人不能,在神凡事都能。
1164.091	1167.815	祂已經是得勝,祂的名就是得勝。
1167.815	1167.975	阿們。
1167.975	1170.618	他是以馬內利,祂是與我們同在的神。
1172.056	1176.078	所以,我們一起來讀誦羅馬書八章三十一節。
1176.078	1177.479	這是單身的時刻,阿們。
1196.749	1198.630	一起來。
1198.630	1203.534	星星,看見流淡與你距離。
1203.534	1208.938	星星,跟隨雲珠火珠帶領。
1208.938	1216.323	曬開,不惜只選擇你的話語。
1216.323	1220.746	在巨人面前,得勝有得勝。
1224.172	1228.656	能力 勇於耶穌的名。
1228.656	1234.381	平安 喜樂 無人能夠奪取。
1234.381	1240.926	在敵人的面前你為我擺盛演戲。
1240.926	1246.151	這是我的勝利宣告。
1257.551	1263.036	信心堪稱永來與你致敵。
1263.036	1271.404	信心堪聲與主要主帶領。
1271.404	1278.631	在海的附近只剩阿彌的寡語。
1278.631	1282.314	在巨人面前的神聖奉獻。
1285.606	1289.187	能力,都因耶穌的名。
1289.187	1296.170	平安,喜樂,無人能夠落去。
1296.170	1302.572	在你人的面前,你為我拜上點心。
1302.572	1306.994	這是我的聖地宣告。
1312.875	1316.017	我要得勝得勝宣告。
1316.017	1317.857	獨風允許將領導。
1317.857	1323.500	我要得勝得勝宣告。
1323.500	1325.942	榮耀能言將領導。
1325.942	1327.742	我要得勝得勝宣告。
1327.742	1331.244	允許祝福將領導。
1331.244	1334.546	我要得勝得勝宣告。
1334.906	1339.168	繁體中文，臺灣國語。
1339.168	1342.850	繁體中文，臺灣國語。
1342.850	1346.332	繁體中文，臺灣國語。
1346.332	1373.964	繁體中文， 哈利路亞 天天讚美天天長。
1373.964	1379.169	我要高唱哈利路亞 我要唱。
1379.169	1382.092	看我能力 有你耶穌的名。
1388.097	1395.544	在敵人的面前,你為我喊聲演習。
1395.544	1399.688	這是我的聖地宣揚。
1399.688	1406.455	都因耶穌的名,平安、喜樂。
1410.589	1414.792	哈利路亞,祝你一世誕生。
1438.865	1441.066	祂拋得我們成熟。
1441.066	1444.066	祂是坐在我們寶座上的王。
1444.066	1445.247	我們讚美祢。
1445.247	1446.847	祢為我們得勝。
1446.847	1451.088	我們感謝祢讓我們活出得勝的生命。
1451.088	1454.489	這是我們的宣告。
1472.466	1476.069	住在你的大門裡。
1476.069	1480.032	感受你的愛。
1480.032	1483.635	我們一起用感恩的心來承受它。
1487.585	1493.430	我心可等渴望來尊崇你。
1493.430	1496.752	祝我用全心來敬拜你。
1514.497	1519.801	我們在重頭來對他唱來。
1544.326	1545.568	來尊崇祢。
1545.568	1548.192	主敬拜祢。
1548.192	1552.379	主多用全心來敬拜祢。
1577.944	1586.109	我一切所愛在於祢。
1586.109	1593.774	祝我獻上我心,祝我獻上我的力。
1599.923	1608.947	我活著為了祢,我的每個清醒,聖殿中的每個時刻。
1635.009	1636.790	來尊崇祢。
1636.790	1643.816	主我用全心來敬拜祢。
1643.816	1646.298	在我裡面的祢。
1671.493	1679.380	在與你﹐我獻上我心。
1679.380	1690.710	祝我獻上我心﹐獻上我的命。
1690.710	1713.826	我活著為了你﹐ 我的每個清醒,生命中的每個時刻,祝成全地之音,祝我獻上我心,我獻上我的靈。
1720.947	1724.729	我的每個氣息。
1724.729	1729.171	生命中的每個時刻。
1729.171	1733.814	主成全體之一。
1733.814	1740.057	來我獻上我的心。
1740.057	1740.937	來到祂面前。
1740.937	1744.479	獻上我的心。
1751.015	1757.838	心上我靈﹑捕捉我心上。
1757.838	1764.101	心上我心﹑心上我靈﹑捕捉。
1764.101	1788.012	心上我心﹑心上我靈﹑ 繁體中文，臺灣國語。
1812.858	1815.921	繁體中文，臺灣國語。
1839.343	1845.128	祝我獻上我心。
1845.128	1848.751	我獻上我的名。
1848.751	1851.213	我活著為了你。
1851.213	1853.334	我的每個氣息。
1869.684	1872.586	祝成全彼此。
1872.586	1876.189	祝我獻上我心。
1876.189	1881.853	我獻上我命。
1881.853	1887.797	我活著跟祂說。
1887.797	1891.840	我的每個氣息。
1891.840	1898.584	生命中的每個時刻。
