start	end	text
11.630	18.055	我們一起來思想。
18.055	29.584	繁體中文，臺灣國語。
43.609	60.046	繁體中文，臺灣國語。
74.189	186.998	繁體中文，臺灣國語 繁體中文，臺灣國語 繁體中文，臺灣國語 繁體中文，臺灣國語。
210.794	258.388	繁體中文，臺灣國語 我們一起來思想。
258.388	270.719	繁體中文，臺灣國語。
296.237	310.642	我們一起來思想。
310.642	324.546	繁體中文，臺灣國語。
327.090	399.108	繁體中文， 中文字幕提供 弟兄姊妹早安。
399.108	402.311	那邀請各位我們從座位上面站立起來。
402.311	404.713	我們一起來禱告。
404.713	406.494	我們是禱告的教會。
406.494	408.996	那我們就是來為各樣的事情來代禱。
408.996	409.597	下一張投影片。
410.981	414.924	那首先我們先來為衛信主的家人朋友來禱告。
414.924	420.087	你的周遭,你的親朋好友當中,衛信主我們真的是提名為他們來開口來禱告。
420.087	422.869	我們一起開聲,我們現在就開聲來禱告。
422.869	429.113	主讚美你,謝謝主,主要把所有的弟兄姊妹,主要他們衛信主的家人,主要都帶到你的面前。
429.633	432.314	讓他們真的是領受從你來的啟示。
432.314	434.736	領受從你來的拣選。
434.736	435.836	你來真的是開他們的心。
435.836	438.138	開他們的眼。
438.138	442.180	使他們能夠看到你對他們說話。
442.180	444.421	你也來調動萬有。
444.421	445.502	安排各樣的事情。
445.862	448.024	主啊主啊來為我們的家人朋友。
448.024	450.525	主啊為他們能夠承受救恩來效力。
450.525	451.766	哈利路亞讚美你。
451.766	454.769	主啊猜拔天使天君來運行。
454.769	455.989	來為他們來征戰。
455.989	457.410	主啊使每個家族。
457.410	460.373	主啊主啊使每個我們周遭的親朋好友。
460.913	463.354	都被你聖靈來工作。
463.354	465.394	都被你聖靈來充滿。
465.394	467.734	帶領他們的心。
467.734	469.955	能夠向著你。
469.955	471.055	能夠來仰望你。
471.055	472.476	能夠來依靠你。
472.476	473.996	不論他們在高山低谷。
473.996	477.217	不論他們真的是經過大水。
477.217	478.497	經過大火。
478.497	479.677	不漫過他們。
479.677	482.578	不騷擾他們。
482.578	485.218	他們能夠在當中走進你的道路。
485.218	486.699	見了耶穌。
486.699	488.099	他們可以到父那裡去。
488.319	489.560	主 我们为他们祷告。
489.560	491.742	主 我们为他们提名来祷告。
491.742	493.083	主啊 求祢感动他们。
493.083	497.467	主啊 求祢真的是伸手来对他们说话。
497.467	505.675	哈利路亚 赞美主 谢谢主 谢谢主哈利路亚 主啊 赞美主主啊 是的主 我们把每一个亲朋好友都交到祢面前。
506.135	509.236	主啊,我們的心是多麼渴望主啊,祂們能夠信主。
509.236	511.136	主啊,祂們能夠被祢醫治。
511.136	513.057	主啊,祂們能夠一生來依靠祢。
513.057	515.918	主啊,走在祢的道路,走在祢的計畫。
515.918	521.979	主啊,我們就把我們每個提名在祢面前的這些的名字,主啊,交在祢的手中。
521.979	523.460	主啊,求祢親自的來工作。
523.460	526.661	主啊,親自的真的是來對他們說話。
526.661	527.941	主啊,謝謝主。
527.941	533.363	主啊,真的是讓每一位,主啊,都被祢領到祢的羊圈的當中。
533.363	534.503	主,讚美祢,謝謝主。
535.555	562.068	我們也為我們上週有神的恩典和拯救,我們一起來讚美祂,我們開生來讚美祂,讚美祂的屬性,不論你經歷什麼樣的恩典,我們就讚美祂在當中的工作,我們開生來禱告,我們火熱的來禱告,讓聖靈的工作更多運行在我們的裡面,使我們可以進到聖靈的火熱的禱告,主要突破的禱告,主要恩膏的禱告, 聖靈律行的禱告裏面。
562.068	564.670	主啊,當我們一開口宣告的時候,就要帶出釋放。
564.670	566.431	主啊,就要帶出醫治。
566.431	567.852	哈利路亞,讚美主。
567.852	569.253	主啊,祢是耶華拉瑪。
569.253	570.334	主啊,祢是醫治的神。
570.334	571.655	主啊,祢是耶華娛樂。
571.655	574.056	主啊,祢是供應的神。
574.056	576.758	主啊,主啊,祢是耶華娛樂。
576.758	584.002	主啊,主啊,主啊,主啊,主啊,主啊,主啊,主啊,主啊,主啊,主啊,主啊,主啊,主啊,主啊, 使用我們的禱告。
584.002	584.883	我們開著讚美的時候。
584.883	587.603	你就設立你的寶座在這裡。
587.603	591.604	你是以讚美為寶座的。
591.604	593.545	讓我們的嘴唇結束那個讚美。
593.545	594.745	信拜你國子。
594.745	598.546	HALLELUJAH 讚美主。
598.546	600.947	真的是你更多的恩典。
600.947	601.487	恩上加恩的領導。
601.647	613.676	每位弟兄姊妹，祢的拯救，祢的恩寵，更多淋到我們的當中，更多來真的是讓我們，進到祢的赐福的裡面。
613.676	617.739	我們也為神來，供應我們身心的一切所需，來禱告。
617.739	628.346	你想到什麼，或者是你向神，渴求什麼，我們真的是來到神面前，向祂來慶幸徒役，向祂來禱告，我們一起開聲來禱告，讚美主。
628.346	630.048	耶華以樂的神，我們讚美祢。
630.708	633.970	主要把我們的身心靈都交在祢的面前。
633.970	637.753	主要我們有疾病的,主要求祢來醫治。
637.753	639.994	主要我們渴慕祢的,求祢聖靈來充滿。
