start	end	text
0.009	18.930	繁體中文，臺灣國語。
41.920	58.260	繁體中文，臺灣國語。
82.995	128.923	繁體中文， 我們一起來思想。
128.923	150.621	繁體中文，臺灣國語。
156.135	168.006	弟兄姊妹平安，謝謝主,非常好的這個會前禱告的預備。
168.006	182.559	我剛剛進來會場的時候,看到弟兄姊妹很衷心的在她的服侍各位上已經都暫定了,包含所有後面的同工、親戚團。
185.930	186.571	我們的師伴、師伴和同仁姊妹在聖堂連食。
186.571	191.055	我曾經在祂們的佛山當中,非常的感恩。
191.055	194.938	非常謝謝祂們的服侍,非常的真心服侍祢的出門。
194.938	202.044	非常感謝主,我們要很珍惜祂們有這麼好的場地、社會。
202.044	212.254	更重要的是,有這麼多忠心的祂們都要忠心服侍祂們,包含每一個接待與備。
212.654	217.259	我會很感謝主,祂給我們這麼好處的家。
217.259	219.882	那在開始前呢,我想分享一個小小的故事。
219.882	223.807	我不知道大家現在在休閒娛樂中有沒有人喜歡錄影的?
223.807	228.993	我想蠻多人都喜歡錄影,很多家庭都喜歡錄影。
238.336	243.858	在今年一月初的時候,我就鼓勵我的小組弟兄說,你們起來規劃。
243.858	246.279	規劃我們今天一定要大潮一次,什麼次。
246.279	256.962	我們到海拔一千零一百多尺的山上,我們說我們三天兩夜或兩天一夜來旅行,然後可以享受大自然,享受我們之間的空氣。
256.962	263.224	我們一起來規劃,然後一定成立,一定成立。
271.578	273.219	當然教育中心在各地快速展開。
273.219	282.982	所以我們也被叫,就是說明要在當,在各地要開啟我們職場的課程。
282.982	290.171	所以我立刻就召集一下所有人說, 其實蠻失望的,因為期待了很久。
290.171	294.354	那為什麼就跟神說,神啊,我一直想要休息,跟天王前面出去。
294.354	296.716	神說,還為我們信,說你放心,好,你放心。
296.716	301.178	結果,昨天呢,我們上了NTR課程的這個宣教的課程。
301.178	308.603	我跟幾個天王姊妹,我們組織了一個啃鴨的短訓隊。
308.603	312.106	我們要跟著外外團工,我們要去啃鴨。
312.106	324.849	那最後一下,我在討論的過程中, 那才發現原來我們在柯亞行程裡面,我們有3到4天,我們是要進入到沙漠區,在遊牧民族區,我們在當地要扎營,要露營。
324.849	335.311	所以,當時我就覺得神就摸我的頭,我心中感受到神很幽默的聲音說,你要露,我希望你要不夠寒。
335.311	339.232	你要天天露營,我要你到真正到非洲的沙漠裡面。
368.968	374.178	首先,我們為的是在國家社會掌權運行來的共同意義。
374.178	381.451	諾瑪書13章第一節說到,在上有全命的人都能服從,因為沒有全命的是從事。
386.442	388.525	我們想說一聲祈禱。
388.525	394.493	我們的心在亞巴手中,泡上濃厚的水,隨意流轉。
394.493	402.645	我們一起,為明年一月份,臺灣有非常重要的選舉,來禱告修昇新自由的使命,展開歐卡西的領導人的絕命。
405.640	414.347	繁體中文，臺灣國語。
428.899	437.401	我們一起來思想。
437.401	473.140	繁體中文，臺灣國語 繁體中文，臺灣國語。
487.995	496.561	我的主人在此為接下來我們會呼應在大大的傳遍臺灣各地的同工。
496.561	502.626	我們特別為擔當教會快速地在各地的成立教育中心來向他們獻上感恩和讚美。
502.626	509.691	主啊,是的,我們不只是為場地,為社會,為人員,更重要的是我們要為招生,為報名的批准。
513.131	526.880	讓我們想像地學習﹐把心思跟我們的恩典﹐靠恩典做為成恩主﹐做為成美好的恩典﹐讓我們定義﹐選擇美麗﹐一個選擇打造。
526.880	535.067	恭喜我們的一切﹐恭喜我們一直在創造﹐所創造的長輩﹐在各地和世界的關係﹐ 最後一天的禱告。
535.067	538.790	所以其實我們在一樓已經通過了四個月的審查。
538.790	541.212	接下來我們要做警報。
541.212	543.073	我們要通過這兩個申請。
