start	end	text
6.698	24.530	我們一起來思想。
24.530	32.136	繁體中文，臺灣國語。
48.046	99.974	繁體中文， 繁體中文，臺灣國語。
121.783	134.787	繁體中文，臺灣國語。
134.787	148.631	繁體中文，臺灣國語。
154.275	166.466	繁體中文，臺灣國語。
192.500	203.704	繁體中文，臺灣國語。
203.704	218.110	繁體中文，臺灣國語。
235.162	251.096	我們一起來思想。
251.096	261.805	繁體中文，臺灣國語。
273.660	281.403	我們一起來思想。
281.403	294.148	繁體中文，臺灣國語。
304.497	344.138	繁體中文， 感謝主,我們真的是預備好我們自己,無論我們的心情如何,我們的身體感覺如何,我們都帶著非常喜樂,非常熱情,來到我們的神面前。
344.838	355.150	我們真的每個人可以來到這裡,不管是你坐在這裡,或者是你在線上,我們要為每一次與神的見面,獻上感謝。
355.150	361.737	這是何等大的感恩,何等大的恩典,我們向神獻上讚美。
361.737	364.581	如果方便的弟兄姊妹,請你們起立。
367.432	370.996	我們將我們的心﹐我們的情感都獻給我們的神。
370.996	375.301	我們用最熱烈的心﹐向我們的神獻上讚美和歡呼。
375.301	380.907	為著我們愛我們的神﹐我們向神說﹐主我們愛祢。
382.483	394.914	因著祢的名,我們可以得救,我們可以有求告的名,讓我們在這地上一同過如屬天的這樣的日子。
394.914	404.262	主,我們的力量都是從祢而來,我們的心思意念求祢來掌管,求祢挪去一切不屬於祢的。
404.667	412.950	主啊,將那個喜樂、盼望、憐憫、恩慈賜給我們。
412.950	416.531	讓我們在每一天的生活當中得勝有餘。
416.531	419.772	我們真的有太多可以感謝的事情。
419.772	423.193	真的是感謝主,讓這個疫情緩和了下來。
423.933	429.974	感謝主讓我們的高雄福音中心今天要開幕了。
429.974	435.315	我們向神獻上感謝。
435.315	440.716	我們在這裡為高雄的福音堂我們來獻上禱告。
440.716	442.697	求主與我們同在。
442.697	445.437	求主大大使用這個中心。
445.437	453.039	感謝主把各樣的資源、人力、把各樣的機會賜給我們。
453.439	463.806	主我們真的是讓這高雄的人﹐可以真的是多了一個﹐這個福音的中心﹐讓我們可以在這當中認識主。
463.806	475.053	我們也為高雄這個地區﹐這些百姓﹐他們將這個真的是讓這個福音﹐讓人的愛能夠吸引﹐神的愛可以吸引他們。
